@relation coletas

@attribute lotacao numeric
@attribute total_segundos numeric
@attribute temp_aparente numeric
@attribute precipitacao numeric
@attribute class {vazio,normal,lotado,superlotado}

@data
13,39427,29.49,0,vazio
13,39428,29.49,0,vazio
13,39429,29.49,0,vazio
13,39430,29.49,0,vazio
12,39431,29.49,0,vazio
12,39432,29.49,0,vazio
12,39433,29.49,0,vazio
12,39434,29.49,0,vazio
12,39435,29.49,0,vazio
12,39436,29.49,0,vazio
12,39437,29.49,0,vazio
12,39438,29.49,0,vazio
12,39439,29.49,0,vazio
12,39440,29.49,0,vazio
12,39441,29.49,0,vazio
11,39442,29.49,0,vazio
11,39443,29.49,0,vazio
11,39444,29.49,0,vazio
12,39445,29.49,0,vazio
12,39446,29.49,0,vazio
12,39447,29.49,0,vazio
12,39448,29.49,0,vazio
12,39449,29.49,0,vazio
12,39450,29.49,0,vazio
12,39451,29.49,0,vazio
12,39452,29.49,0,vazio
12,39453,29.49,0,vazio
12,39454,29.49,0,vazio
10,39455,29.49,0,vazio
10,39456,29.49,0,vazio
10,39457,29.5,0,vazio
10,39458,29.5,0,vazio
10,39459,29.5,0,vazio
9,39460,29.5,0,vazio
9,39461,29.5,0,vazio
9,39462,29.5,0,vazio
9,39463,29.5,0,vazio
9,39464,29.5,0,vazio
9,39465,29.5,0,vazio
9,39466,29.5,0,vazio
9,39467,29.5,0,vazio
9,39468,29.5,0,vazio
9,39469,29.5,0,vazio
9,39470,29.5,0,vazio
9,39471,29.5,0,vazio
9,39472,29.5,0,vazio
10,39473,29.5,0,vazio
9,39474,29.5,0,vazio
9,39475,29.5,0,vazio
9,39476,29.5,0,vazio
9,39477,29.5,0,vazio
9,39478,29.5,0,vazio
9,39479,29.5,0,vazio
9,39480,29.5,0,vazio
9,39481,29.5,0,vazio
9,39482,29.5,0,vazio
8,39483,29.5,0,vazio
8,39484,29.5,0,vazio
8,39485,29.5,0,vazio
8,39486,29.5,0,vazio
8,39487,29.5,0,vazio
8,39488,29.5,0,vazio
8,39489,29.5,0,vazio
8,39490,29.5,0,vazio
8,39491,29.5,0,vazio
8,39492,29.5,0,vazio
7,39493,29.5,0,vazio
7,39494,29.5,0,vazio
8,39495,29.5,0,vazio
8,39496,29.5,0,vazio
8,39497,29.5,0,vazio
8,39498,29.5,0,vazio
8,39499,29.5,0,vazio
8,39500,29.5,0,vazio
8,39501,29.5,0,vazio
8,39502,29.5,0,vazio
8,39503,29.5,0,vazio
